,uid,title,episodes,members,score,Comedy,Action,Fantasy,Adventure,Drama,Sci-Fi,Hentai,Kids,Shounen,Romance,Slice of Life,Music,School,Supernatural,Historical,Mecha,Magic,Seinen,Mystery,Sports,Ecchi,Shoujo,Super Power,Parody,Military
90,37150,Douluo Dalu,26.0,8935,7.89,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
91,6768,Code Geass: Hangyaku no Lelouch R2 Special Edition - Zero Requiem,1.0,34345,7.89,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
92,12403,Yuru Yuri♪♪,12.0,130757,7.9,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
93,39597,Sword Art Online: Alicization - War of Underworld,12.0,189943,7.9,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,15771,Saint☆Oniisan (Movie),1.0,56150,7.9,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
95,82,Mobile Suit Gundam 0080: War in the Pocket,6.0,36514,7.9,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
96,34745,Mahoujin Guruguru (2017),24.0,24706,7.9,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
97,3782,Kara no Kyoukai 2: Satsujin Kousatsu (Zen),1.0,164671,7.9,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
98,253,Jungle wa Itsumo Hare nochi Guu,26.0,27536,7.9,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
99,12413,Jormungand,12.0,225965,7.9,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
100,5630,Higashi no Eden,11.0,398780,7.89,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
101,38816,Hello World,1.0,21295,7.9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,29787,Gochuumon wa Usagi Desu ka??,12.0,80268,7.9,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,2321,Giant Robo the Animation: Chikyuu ga Seishi Suru Hi,7.0,18602,7.9,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
105,4447,Detective Conan Movie 12: Full Score of Fear,1.0,30226,7.9,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
